problem,n,m,success,objective,infeasibility,evaluations,time,exit_code,message
EIGMINA,101,101,False,-1.0,58.1677754431094,36,0.59494948387146,3,Infeasible solution
EIGMINB,101,101,False,-1.0,2.329202094159799,340,3.7784311771392822,3,Infeasible solution
EIGMINC,202,202,False,-1.0,65.92416159210222,37,2.9484879970550537,3,Infeasible solution
ELATTAR,7,102,False,-809569.8268556051,190466375244.23297,137,0.5357742309570312,3,Infeasible solution
ELATVIDU,2,0,True,54.75113321786639,0.0,28,0.00039505958557128906,3,Function tolerance reached
ELATVIDUB,2,0,True,26.97543162301547,0.0,48,0.0004532337188720703,3,Function tolerance reached
ELATVIDUNE,2,3,False,0.0,10.357986610648883,24,0.0009849071502685547,3,Infeasible solution
ENGVAL2,3,0,True,2.4854214719716716e-11,0.0,41,0.0005514621734619141,3,Function tolerance reached
ENGVAL2NE,3,5,False,0.0,21.051930092270695,14,0.001065969467163086,3,Infeasible solution
ENSO,9,168,False,0.0,34.267569349910474,38,0.1990830898284912,3,Infeasible solution
ENSOLS,9,0,True,788.540947132322,0.0,53,0.0175325870513916,3,Function tolerance reached
EQC,7,3,False,nan,nan,nan,nan,,Optimization error: 
ERRINBAR,18,9,False,nan,nan,nan,nan,,Optimization error: 
ERRINROS,50,0,True,40.033944917638316,0.0,383,0.08125805854797363,3,Function tolerance reached
ERRINROSNE,50,98,False,0.0,331.930378242185,70,0.9047491550445557,3,Infeasible solution
ERRINRSM,50,0,True,38.260509408820845,0.0,501,0.1220858097076416,3,Function tolerance reached
ERRINRSMNE,50,98,False,0.0,390.9847470240485,70,0.903954029083252,3,Infeasible solution
EXP2,2,0,True,3.1158924984946935e-09,0.0,13,0.00019097328186035156,3,Function tolerance reached
EXP2B,2,0,True,1.1296296567793642e-10,0.0,13,0.000202178955078125,3,Function tolerance reached
EXP2NE,2,10,False,0.0,1.9485575265537807,59,0.005375862121582031,3,Infeasible solution
EXPFIT,2,0,True,0.24051060388163825,0.0,23,0.0003230571746826172,3,Function tolerance reached
EXPFITA,5,22,False,0.00044913063263256396,1.038214630006049,59,0.043051719665527344,3,Infeasible solution
EXPFITB,5,102,False,0.6155393157875135,123.2999108638997,70,0.21869969367980957,3,Infeasible solution
EXPFITC,5,502,False,14.110355517617084,5378.986954614982,69,1.1494090557098389,3,Infeasible solution
EXPFITNE,2,10,False,0.0,4.209214845730027,14,0.00144195556640625,3,Infeasible solution
EXTRASIM,2,1,True,1.0,0.0,7,0.0001456737518310547,3,Function tolerance reached
FBRAIN2LS,4,0,True,0.36839092552572505,0.0,29,0.05100560188293457,3,Function tolerance reached
FBRAIN3LS,6,0,True,0.2717099410439106,0.0,98,0.32922911643981934,3,Function tolerance reached
FBRAINLS,2,0,True,0.4166033690412035,0.0,14,0.0070722103118896484,3,Function tolerance reached
FCCU,19,8,False,2.9039997345815602,5.4721476429295475,65,0.02536630630493164,3,Infeasible solution
FEEDLOC,87,259,False,nan,nan,nan,nan,,Optimization error: 
FLETCHER,4,4,False,1.4727847961875517e-52,2.999999819719003,5,0.0008080005645751953,3,Infeasible solution
FLT,2,2,True,0.0,3.135138887304645e-07,57,0.001749277114868164,3,Function tolerance reached
FREURONE,2,2,False,0.0,13.795308362741677,66,0.0020904541015625,3,Infeasible solution
GAUSS1,8,250,False,0.0,153.8058521450867,113,0.4123857021331787,3,Infeasible solution
GAUSS1LS,8,0,True,7371.720578441935,0.0,52,0.010805606842041016,4,Parameter tolerance reached
GAUSS2,8,250,False,nan,nan,nan,nan,,Optimization error: 
GAUSS2LS,8,0,True,1247.5324602587255,0.0,54,0.013571977615356445,3,Function tolerance reached
GAUSS3,8,250,False,nan,nan,nan,nan,,Optimization error: 
GAUSS3LS,8,0,True,11386.734980516761,0.0,77,0.021651744842529297,3,Function tolerance reached
