problem,n,m,status,obj,constraint,iter,count_cost,total_time,message
HEART8LS,8,0,1,1.193545512037654,0.0,6,535,0.007066488265991211,
HELIX,3,0,1,7.548392036393063e-07,0.0,4,155,0.004343748092651367,
HELIXNE,3,3,0,0.0,6.514995094922097e-06,79,1000,0.017985105514526367,
HIELOW,3,0,-3,1009.3539535468618,0.0,12,133,0.022574186325073242,
HILBERTA,2,0,1,2.4907212955907864e-10,0.0,2,21,0.0032308101654052734,
HILBERTB,10,0,1,2.063945265896137e-08,0.0,2,137,0.004321098327636719,
HIMMELBA,2,2,0,0.0,2.199156106007149e-06,82,1000,0.016978740692138672,
HIMMELBB,2,0,1,26646.764955544684,0.0,6,85,0.0035047531127929688,
HIMMELBC,2,2,0,0.0,3.252844762343034e-06,84,1000,0.01657700538635254,
HIMMELBCLS,2,0,1,8.83045916185268e-10,0.0,2,37,0.003038167953491211,
HIMMELBD,2,2,0,0.0,5.192532127352271,98,1000,0.019706010818481445,
HIMMELBE,3,3,1,0.0,4.145382121077698e-07,25,227,0.009961843490600586,
HIMMELBF,4,0,1,29052.733487325004,0.0,6,97,0.003750324249267578,
HIMMELBFNE,4,7,0,0.0,1828.2375883578572,68,1000,0.019307851791381836,
HIMMELBG,2,0,1,2.2315681727921967e-10,0.0,2,27,0.0031113624572753906,
HIMMELBH,2,0,1,-0.9999999462228449,0.0,2,23,0.0036683082580566406,
HIMMELBI,100,12,0,-1755.0,21914.036597578273,5,1050,0.021134376525878906,
HIMMELBJ,43,14,1,-1909.7175217224628,6.893618355595786e-10,10,1012,0.021486520767211914,
HIMMELBK,24,14,1,0.08885129746119512,6.941512849560241e-07,4,953,0.021569252014160156,
HIMMELP1,2,0,1,-62.05393525053137,0.0,2,36,0.003434419631958008,
HIMMELP2,2,1,1,-62.05393548327538,0.0,4,74,0.004492282867431641,
HIMMELP3,2,2,1,-8.306959592021883,0.0,4,30,0.007380247116088867,
HIMMELP4,2,3,1,-8.30821789391996,0.0,3,30,0.0063266754150390625,
HIMMELP5,2,3,-3,nan,0.0,42,650,0.015051603317260742,
HIMMELP6,2,5,-3,nan,0.0,42,650,0.013585329055786133,
HOLMES,180,0,0,inf,0.0,6,1102,0.3709681034088135,
HONG,4,1,1,22.571087370251185,5.7134297293259806e-12,2,64,0.004537820816040039,
HS1,2,0,1,1.0284329763594793e-05,0.0,4,102,0.0033049583435058594,
HS10,2,1,0,-19.99999,598.9992000003001,63,1000,0.012190580368041992,
HS100,7,4,1,680.6301256246687,2.9081871844027773e-07,64,1000,0.018999099731445312,
HS100LNP,7,2,1,680.6321287156111,8.989154307001531e-07,14,444,0.013755321502685547,
HS100MOD,7,4,1,678.7481101829975,0.0,64,1000,0.018033504486083984,
HS101,7,5,0,2205.8646957805718,394.3595048791655,39,1004,0.01923656463623047,
HS102,7,5,0,2206.884846281593,394.3595048791655,39,1004,0.0184938907623291,
HS103,7,5,0,2208.882273511467,394.3595048791655,39,1004,0.01812601089477539,
HS104,8,5,0,3.6573656982192175,0.434974207357978,36,1000,0.01905655860900879,
HS105,8,1,1,1137.0401211262936,0.0,3,78,0.007056713104248047,
HS106,8,6,0,15000.0,62499.94999999995,36,1000,0.015296459197998047,
HS107,9,6,1,5055.015520437012,1.490448570922498e-08,14,449,0.012429237365722656,
HS108,9,13,0,-5.000000000032756e-06,1.7320508075688772,34,1000,0.01913905143737793,
HS109,9,10,-3,1.9025925e+53,3.535533905932738e+39,6,173,0.009079694747924805,
HS11,2,1,0,-24.9799979999,23.909990000000004,63,1000,0.0111541748046875,
HS110,10,0,1,-45.77847552975394,0.0,2,59,0.003686189651489258,
HS111,10,3,0,-44.79200227057168,7.252815626579558e-07,13,1005,0.01993560791015625,
HS111LNP,10,3,0,-44.79200227057168,7.252815626579558e-07,13,1005,0.016176223754882812,
HS112,10,3,1,-47.75967068127754,1.782377649308282e-11,2,102,0.008421897888183594,
HS113,10,8,1,26.88278561789319,0.0,12,1004,0.01765727996826172,
HS114,10,11,0,-5288.7499369625,1286.1204350011897,32,1003,0.02043938636779785,
HS116,13,14,0,225.50009999999997,430.75417159263026,27,1002,0.01887369155883789,
HS117,15,5,0,118.22002517834362,0.0,7,1008,0.018182754516601562,
HS118,15,17,1,942.7162499999997,0.0,24,1000,0.020885944366455078,
HS119,16,8,1,244.9005963340178,1.072453312572942e-09,3,307,0.010525941848754883,
HS12,2,1,1,-29.999998362215862,0.0,7,94,0.003668546676635742,
HS13,2,1,0,5e+39,1.25e+59,63,1000,0.011013984680175781,
HS14,2,2,-3,1.0,4.123105625617661,31,489,0.012299060821533203,
HS15,2,2,0,908.9759402200989,3.162265011064063,63,1000,0.017197132110595703,
HS16,2,2,0,2.5e+41,2.5e+39,63,1000,0.019651174545288086,
HS17,2,2,0,2.5e+41,2.5e+39,63,1000,0.018362045288085938,
HS18,2,2,1,5.000000197504903,0.0,9,189,0.012310266494750977,
HS19,2,2,0,-1808.8582959999999,116.70560000000003,63,1000,0.01700448989868164,
HS1NE,2,2,1,0.0,7.57060408848844e-07,23,163,0.009461402893066406,
HS2,2,0,1,2.5e+41,0.0,1,15,0.002908945083618164,
HS20,2,3,-3,nan,0.0,53,826,0.014970064163208008,
HS21,2,1,1,-93.24061934896079,0.0,1,11,0.004192352294921875,
HS21MOD,7,1,1,5.050000000000001e+59,0.0,1,19,0.0033080577850341797,
HS22,2,2,0,1.0,2.8284271247461903,63,1000,0.02153468132019043,
HS23,2,5,-3,nan,0.0,30,458,0.0116729736328125,
HS24,2,3,1,-0.09353510292805306,2.2197810256585626e-10,6,133,0.00738215446472168,
HS25,3,0,1,32.83497241270658,0.0,1,6,0.004493236541748047,
HS25NE,3,99,1,0.0,4.317024643850552e-07,57,556,0.34000277519226074,
HS26,3,1,1,2.2003309109941572e-08,4.867648506490241e-10,5,134,0.0041234493255615234,
HS268,5,5,-3,12048.0,0.0,30,653,0.012973785400390625,
HS27,3,1,1,0.03999999989742562,3.227639532602614e-09,10,241,0.0054509639739990234,
HS28,3,1,1,5.000000010390586e-11,1.998448073692316e-10,2,34,0.0035657882690429688,
HS29,3,1,1,-15.092195623111774,0.0,77,1000,0.014699935913085938,
HS2NE,2,2,0,0.0,5e+20,63,1000,0.029279470443725586,
HS3,2,0,1,5.568172045458584e-06,0.0,2,30,0.0047261714935302734,
HS30,3,1,1,1.0021288208392218,0.0,6,206,0.0061757564544677734,
HS31,3,1,0,212.5000000009,0.999945,56,1000,0.011883020401000977,
HS32,3,2,1,1.000095207878206,3.35098615522611e-12,2,37,0.0074765682220458984,
HS33,3,2,0,1.25e+59,7.071067811865475e+39,56,1000,0.016660451889038086,
